"","test","model","roi","class","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"206","primary","aware","IWP07-reg009","Myeloid",0.656365056342742,0.570299790843597,0.443030348670834,0.761166253101737,0.443030348670834,0.656365056342742,0.528999190720259,0.342425978987584,0.224756446991404,0.507316141356256,0.61333242359317
"207","primary","aware","IWP08-reg001","Myeloid",0.702841492639507,0.958188153310105,0.78809980806142,0.935789317946442,0.78809980806142,0.702841492639507,0.743032935215346,0.181169757489301,0.127333622774918,0.161570427339825,0.830514822974806
"208","primary","aware","IWP08-reg002","Myeloid",0.535299003322259,0.867018216682646,0.48168908819133,0.889883881125763,0.48168908819133,0.535299003322259,0.507081038552321,0.187568157033806,0.100405047515189,0.208443682816638,0.701158610002453
"209","primary","aware","IWP08-reg003","Myeloid",0.612147677649861,0.876848546659867,0.614832535885168,0.875620623806493,0.614832535885168,0.612147677649861,0.613487169285856,0.243076329248287,0.148798610440992,0.242014860561613,0.744498112154864
"210","primary","aware","IWP08-reg004","Myeloid",0.548696114954763,0.85075421472937,0.550747863247863,0.849698688408366,0.550747863247863,0.548696114954763,0.549720074646761,0.250066542454086,0.137210540324727,0.249134948096886,0.699725164842067
"211","primary","aware","IWP08-reg006","Myeloid",0.646872718422974,0.965811965811966,0.850287907869482,0.901104143947655,0.850287907869482,0.646872718422974,0.734761575673808,0.230868636925497,0.149342622766603,0.175637712102483,0.80634234211747
"212","primary","aware","IWP08-reg007","Myeloid",0.640649888499522,0.943468468468468,0.666998341625207,0.936926861999553,0.666998341625207,0.640649888499522,0.653558661033474,0.150198574094454,0.0962246997463994,0.144265275850519,0.792059178483995
"213","primary","aware","IWP08-reg008","Myeloid",0.720730397422127,0.877284247032146,0.421747328724073,0.961971624981717,0.421747328724073,0.720730397422127,0.532117367168914,0.11046511627907,0.0796155671570954,0.188775510204082,0.799007322227137
"214","primary","aware","IWP08-reg009","Myeloid",0.601721439749609,0.883532180829478,0.348911070780399,0.955331285651602,0.348911070780399,0.601721439749609,0.441700172314762,0.0939774983454666,0.0565482756085006,0.162070740495625,0.742626810289543
"215","primary","aware","IWP09-reg002","Myeloid",0.585192697768763,0.746546698770752,0.365884590995561,0.878074228648085,0.365884590995561,0.585192697768763,0.450253609051892,0.199939166582176,0.117002940281862,0.319780999695833,0.665869698269757
"216","primary","aware","IWP09-reg003","Myeloid",0.605168064362174,0.752203302815094,0.505351856069232,0.819953985822659,0.505351856069232,0.605168064362174,0.550774099469455,0.294944498069498,0.178490990990991,0.353201415701416,0.678685683588634
"217","primary","aware","IWP09-reg004","Myeloid",0.445801789401239,0.761090113387706,0.418308040038747,0.78086944690115,0.418308040038747,0.445801789401239,0.431617524571048,0.27817929450055,0.12401282726272,0.296462930167999,0.603445951394473
"218","primary","aware","IWP09-reg005","Myeloid",0.552065788170019,0.79509337942292,0.566260162601626,0.78555165544066,0.566260162601626,0.552065788170019,0.559072894195555,0.326401914494535,0.180195330185628,0.318220037513744,0.673579583796469
"219","primary","aware","IWP09-reg006","Myeloid",0.524646781789639,0.792591636551368,0.454106936612542,0.835260194227578,0.454106936612542,0.524646781789639,0.486834917513384,0.247474747474747,0.12983682983683,0.285916860916861,0.658619209170504
"220","primary","aware","IWP10-reg001","Myeloid",0.792616417284296,0.852849772199258,0.537505926979611,0.950149584859995,0.537505926979611,0.792616417284296,0.640596745027125,0.177470591155011,0.140666104134611,0.261701494018961,0.822733094741777
"221","primary","aware","IWP10-reg002","Myeloid",0.809780170480036,0.835716875478387,0.570420309701886,0.942226461370759,0.570420309701886,0.809780170480036,0.669344870210136,0.212218343383053,0.171850206283719,0.301269438273564,0.822748522979212
"222","primary","aware","IWP10-reg003","Myeloid",0.80377358490566,0.827645741724891,0.411802614619776,0.965630114566285,0.411802614619775,0.80377358490566,0.544591221769039,0.130529624243561,0.104916264014636,0.254773185720317,0.815709663315276
"223","primary","aware","IWP10-reg004","Myeloid",0.835730376018021,0.811191504580594,0.412716070511723,0.968850627587567,0.412716070511723,0.835730376018021,0.552557713238242,0.137013295346629,0.114506172839506,0.277445394112061,0.823460940299307
"224","primary","aware","IWP10-reg005","Myeloid",0.804625521043432,0.850965311568043,0.512284907114117,0.957242069330822,0.512284907114117,0.804625521043432,0.626006904487917,0.162867091518297,0.131047018373738,0.255808860565447,0.827795416305737
"225","primary","aware","IWP10-reg006","Myeloid",0.817184016463728,0.845577862181226,0.455675623983934,0.966929329279643,0.455675623983934,0.817184016463728,0.585093320235756,0.136586165702373,0.111616031482045,0.244946241596589,0.831380939322477
"226","primary","aware","IWP10-reg007","Myeloid",0.175675675675676,0.722199675324675,0.00940665701881331,0.983149171270718,0.00940665701881331,0.175675675675676,0.0178571428571429,0.0147940823670532,0.00259896041583367,0.276289484206317,0.448937675500175
"227","primary","aware","IWP11-reg003","Myeloid",0.58646297475069,0.758422251528594,0.406829555490138,0.866515992055339,0.406829555490138,0.58646297475069,0.480403232814808,0.220285113344239,0.129189062865155,0.317550829633092,0.672442613139642
"228","primary","aware","IWP11-reg004","Myeloid",0.783243351329734,0.713406029506094,0.304753753987396,0.953532235939643,0.304753753987396,0.783243351329734,0.438781225495687,0.138221718581576,0.108261242088389,0.35524170144551,0.748324690417914
"229","primary","aware","IWP11-reg005","Myeloid",0.69710843373494,0.866000312353584,0.457391304347826,0.946366855826258,0.457391304347826,0.69710843373494,0.55236276849642,0.139439553793428,0.0972044889456354,0.212519319938176,0.781554373044262
"230","primary","aware","IWP11-reg006","Myeloid",0.552263834544438,0.750410509031199,0.68421052631579,0.63121546961326,0.68421052631579,0.552263834544438,0.611197030621714,0.494745575221239,0.273230088495575,0.399336283185841,0.651337171787818
"231","recurrent","aware","IWR05-reg001","Myeloid",0.497683335996166,0.701087429317094,0.644527208773019,0.561720220255106,0.644527208773019,0.497683335996166,0.561666065632889,0.521300961978928,0.259442801815683,0.402531961853996,0.59938538265663
